bhk,type,area,region,status,age, Final_price , Price_per_sqft 
3,2,685,1,1,1,"2,50,00,000.00","36,496.35"
2,2,640,2,2,1,"52,51,000.00","8,204.69"
2,2,610,3,2,1,"1,73,00,000.00","28,360.66"
2,2,876,4,2,1,"59,98,000.00","6,847.03"
2,2,659,5,2,1,"94,11,000.00","14,280.73"
2,2,826,6,2,1,"3,30,00,000.00","39,951.57"
5,5,2921,7,2,1,"1,99,00,000.00","6,812.74"
3,2,778,8,2,1,"2,89,00,000.00","37,146.53"
1,2,396,9,1,1,"29,84,000.00","7,535.35"
2,2,671,10,2,1,"2,72,00,000.00","40,536.51"
1,1,502,11,2,1,"16,56,000.00","3,298.80"
2,2,950,12,2,1,"41,75,000.00","4,394.74"
3,2,753,13,2,1,"1,77,00,000.00","23,505.98"
2,2,605,14,2,1,"1,55,00,000.00","25,619.83"
1,2,557,15,2,1,"58,50,000.00","10,502.69"
2,2,635,16,2,1,"83,00,000.00","13,070.87"
1,2,450,17,2,1,"1,39,00,000.00","30,888.89"
3,2,1259,18,1,1,"2,80,00,000.00","22,239.87"
2,2,555,19,2,1,"1,42,00,000.00","25,585.59"
3,2,1274,1,2,1,"4,20,00,000.00","32,967.03"
2,2,582,20,2,1,"1,49,00,000.00","25,601.37"
1,2,483,21,2,1,"37,52,000.00","7,768.12"
1,2,320,13,2,1,"69,90,000.00","21,843.75"
1,2,396,19,2,1,"42,99,000.00","10,856.06"
2,2,638,22,2,1,"1,26,00,000.00","19,749.22"
2,2,1047,23,2,1,"49,58,000.00","4,735.43"
2,2,1080,21,1,1,"57,24,000.00","5,300.00"
2,2,555,24,2,1,"1,31,00,000.00","23,603.60"
1,2,261,4,2,1,"47,50,000.00","18,199.23"
2,2,594,23,1,1,"34,50,000.00","5,808.08"
1,2,445,25,2,1,"34,14,000.00","7,671.91"
1,2,409,4,2,1,"32,00,000.00","7,823.96"
4,2,1874,26,2,1,"2,70,00,000.00","14,407.68"
1,2,450,27,2,1,"54,99,000.00","12,220.00"
3,2,859,4,2,1,"1,37,00,000.00","15,948.78"
2,2,720,19,2,1,"1,31,00,000.00","18,194.44"
1,2,404,28,2,1,"58,00,000.00","14,356.44"
2,2,604,29,2,1,"1,44,00,000.00","23,841.06"
3,2,1116,30,2,1,"2,85,00,000.00","25,537.63"
1,3,701,31,2,1,"30,99,000.00","4,420.83"
3,2,902,32,2,1,"2,59,00,000.00","28,713.97"
2,2,990,33,2,1,"45,45,000.00","4,590.91"
1,2,313,34,2,1,"27,56,000.00","8,805.11"
1,2,409,19,2,1,"30,15,000.00","7,371.64"
2,2,560,30,2,1,"1,32,00,000.00","23,571.43"
1,2,448,35,2,1,"1,34,00,000.00","29,910.71"
1,2,386,33,1,1,"27,96,000.00","7,243.52"
2,2,539,36,2,1,"46,21,000.00","8,573.28"
3,2,1625,27,1,1,"1,45,00,000.00","8,923.08"
3,2,685,1,1,1,"2,50,00,000.00","36,496.35"
2,2,640,2,2,1,"52,51,000.00","8,204.69"
2,2,610,3,2,1,"1,73,00,000.00","28,360.66"
2,2,876,4,2,1,"59,98,000.00","6,847.03"
2,2,659,5,2,1,"94,11,000.00","14,280.73"
2,2,826,6,2,1,"3,30,00,000.00","39,951.57"
5,5,2921,7,2,1,"1,99,00,000.00","6,812.74"
3,2,778,8,2,1,"2,89,00,000.00","37,146.53"
1,2,396,9,1,1,"29,84,000.00","7,535.35"
2,2,739,10,2,1,"2,95,00,000.00","39,918.81"
1,2,635,11,2,1,"20,95,000.00","3,299.21"
2,2,950,12,2,1,"41,75,000.00","4,394.74"
3,2,753,13,2,1,"1,77,00,000.00","23,505.98"
2,2,605,14,2,1,"1,55,00,000.00","25,619.83"
1,2,477,15,2,1,"51,00,000.00","10,691.82"
2,2,635,16,2,1,"83,00,000.00","13,070.87"
1,2,450,17,2,1,"1,39,00,000.00","30,888.89"
3,2,1259,18,1,1,"2,80,00,000.00","22,239.87"
2,2,515,19,2,1,"1,24,00,000.00","24,077.67"
3,2,1274,1,2,1,"4,20,00,000.00","32,967.03"
2,2,582,20,2,1,"1,49,00,000.00","25,601.37"
2,2,720,21,2,1,"57,07,000.00","7,926.39"
1,2,320,13,2,1,"69,90,000.00","21,843.75"
1,2,396,19,2,1,"42,99,000.00","10,856.06"
1,2,465,22,2,1,"90,00,000.00","19,354.84"
2,2,1047,23,2,1,"49,58,000.00","4,735.43"
2,2,1080,21,1,1,"57,24,000.00","5,300.00"
2,2,555,24,2,1,"1,31,00,000.00","23,603.60"
1,2,261,4,2,1,"47,49,000.00","18,195.40"
2,2,528,23,1,1,"31,50,000.00","5,965.91"
2,2,586,25,2,1,"45,03,000.00","7,684.30"
2,2,563,4,2,1,"42,00,000.00","7,460.04"
2,2,990,26,2,1,"1,51,00,000.00","15,252.53"
2,2,709,4,2,1,"1,14,00,000.00","16,078.98"
4,2,1300,19,2,1,"2,54,00,000.00","19,538.46"
2,2,628,28,2,1,"90,00,000.00","14,331.21"
2,2,587,29,2,1,"1,40,00,000.00","23,850.09"
3,2,1056,30,2,1,"2,45,00,000.00","23,200.76"
1,3,701,31,2,1,"30,99,000.00","4,420.83"
3,2,902,32,2,1,"2,59,00,000.00","28,713.97"
1,2,695,33,2,1,"31,80,000.00","4,575.54"
1,2,313,34,2,1,"27,56,000.00","8,805.11"
1,1,270,19,2,1,"20,39,000.00","7,551.85"
2,2,625,30,2,1,"1,47,00,000.00","23,520.00"
2,2,639,35,2,1,"1,91,00,000.00","29,890.45"
2,2,614,33,1,1,"44,44,000.00","7,237.79"
1,2,365,36,2,1,"29,02,000.00","7,950.68"
1,2,750,27,2,1,"57,00,000.00","7,600.00"
1,2,425,2,2,1,"33,49,000.00","7,880.00"
3,2,845,3,2,1,"2,35,00,000.00","27,810.65"
1,2,473,5,2,1,"69,65,000.00","14,725.16"
1,2,425,2,2,1,"33,49,000.00","7,880.00"
2,2,618,2,2,1,"50,50,000.00","8,171.52"
2,2,618,2,2,1,"50,50,000.00","8,171.52"
1,2,430,2,2,1,"34,91,000.00","8,118.60"
1,2,430,2,2,1,"34,91,000.00","8,118.60"
3,2,845,3,2,1,"2,35,00,000.00","27,810.65"
2,2,610,3,2,1,"1,73,00,000.00","28,360.66"
2,2,610,3,2,1,"1,73,00,000.00","28,360.66"
3,2,845,3,2,1,"2,35,00,000.00","27,810.65"
3,2,845,3,2,1,"2,35,00,000.00","27,810.65"
1,2,425,37,2,1,"36,00,000.00","8,470.59"
1,2,425,37,2,1,"36,00,000.00","8,470.59"
2,2,651,37,2,1,"56,00,000.00","8,602.15"
2,2,651,37,2,1,"56,00,000.00","8,602.15"
1,2,425,37,2,1,"36,00,000.00","8,470.59"
1,2,425,37,2,1,"36,00,000.00","8,470.59"
2,2,651,37,2,1,"56,00,000.00","8,602.15"
2,2,651,37,2,1,"56,00,000.00","8,602.15"
1,2,473,5,2,1,"69,65,000.00","14,725.16"
3,2,946,5,2,1,"1,38,00,000.00","14,587.74"
3,2,946,5,2,1,"1,38,00,000.00","14,587.74"
2,2,667,5,2,1,"94,99,000.00","14,241.38"
2,2,667,5,2,1,"94,99,000.00","14,241.38"
2,2,682,5,2,1,"97,14,000.00","14,243.40"
2,2,682,5,2,1,"97,14,000.00","14,243.40"
3,2,1133,6,2,1,"4,79,00,000.00","42,277.14"
3,2,1133,6,2,1,"4,79,00,000.00","42,277.14"
3,5,2187,7,2,1,"1,49,00,000.00","6,812.99"
3,5,2187,7,2,1,"1,49,00,000.00","6,812.99"
2,2,579,8,2,1,"1,81,00,000.00","31,260.79"
2,2,579,8,2,1,"1,81,00,000.00","31,260.79"
2,2,486,9,1,1,"36,00,000.00","7,407.41"
2,2,486,9,1,1,"36,00,000.00","7,407.41"
1,2,361,9,1,1,"28,00,000.00","7,756.23"
1,2,361,9,1,1,"28,00,000.00","7,756.23"
1,2,377,9,1,1,"28,20,000.00","7,480.11"
1,2,377,9,1,1,"28,20,000.00","7,480.11"
1,2,382,9,1,1,"28,61,000.00","7,489.53"
1,2,382,9,1,1,"28,61,000.00","7,489.53"
1,2,535,11,2,1,"17,65,000.00","3,299.07"
1,2,565,11,2,1,"18,64,000.00","3,299.12"
1,1,380,11,2,1,"13,68,000.00","3,600.00"
1,2,345,11,1,1,"19,91,000.00","5,771.01"
1,2,352,11,1,1,"20,50,000.00","5,823.86"
